Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;8a380a3f-1721-4da3-90a7-4fb545aa2a36;2023-11-23 13:57:57.6895
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;8a380a3f-1721-4da3-90a7-4fb545aa2a36;2023-11-23 13:57:58.2131
anonymous;3;-1.5851;0.5824;1.3684;273.0043;109.1290;340.9404;8a380a3f-1721-4da3-90a7-4fb545aa2a36;2023-11-23 13:57:58.2411
anonymous;6;-1.5854;0.5825;1.3678;273.0081;109.4882;340.5778;8a380a3f-1721-4da3-90a7-4fb545aa2a36;2023-11-23 13:57:58.2820
anonymous;10;-1.5853;0.5826;1.3678;273.0217;109.4259;340.6382;8a380a3f-1721-4da3-90a7-4fb545aa2a36;2023-11-23 13:57:58.3119
anonymous;12;-1.5853;0.5828;1.3677;273.0234;109.4618;340.6005;8a380a3f-1721-4da3-90a7-4fb545aa2a36;2023-11-23 13:57:58.3348
anonymous;14;-1.5851;0.5825;1.3674;273.0368;109.5175;340.5485;8a380a3f-1721-4da3-90a7-4fb545aa2a36;2023-11-23 13:57:58.3588
anonymous;17;-1.5851;0.5825;1.3676;273.0387;109.4568;340.6103;8a380a3f-1721-4da3-90a7-4fb545aa2a36;2023-11-23 13:57:58.3897
anonymous;19;-1.5849;0.5824;1.3676;273.0517;109.3048;340.7592;8a380a3f-1721-4da3-90a7-4fb545aa2a36;2023-11-23 13:57:58.4116
anonymous;21;-1.5847;0.5825;1.3676;273.0572;109.3450;340.7155;8a380a3f-1721-4da3-90a7-4fb545aa2a36;2023-11-23 13:57:58.4346
anonymous;23;-1.5850;0.5824;1.3677;273.0353;109.4379;340.6252;8a380a3f-1721-4da3-90a7-4fb545aa2a36;2023-11-23 13:57:58.5652
