Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:52.9948
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.5440
anonymous;3;-1.5598;0.5790;1.3619;273.2526;107.9797;341.6227;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.5915
anonymous;7;-1.5600;0.5789;1.3620;273.2521;108.1029;341.4924;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.6180
anonymous;9;-1.5598;0.5789;1.3617;273.2600;108.1146;341.4813;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.6395
anonymous;11;-1.5596;0.5788;1.3618;273.2664;107.9587;341.6352;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.6630
anonymous;13;-1.5595;0.5791;1.3616;273.2635;108.0038;341.5906;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.6850
anonymous;15;-1.5593;0.5791;1.3617;273.2732;107.9330;341.6675;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.7070
anonymous;17;-1.5593;0.5791;1.3617;273.2727;107.8167;341.7783;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.7290
anonymous;19;-1.5593;0.5790;1.3616;273.2742;107.9477;341.6434;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.7510
anonymous;21;-1.5592;0.5789;1.3617;273.2785;107.9425;341.6494;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.9021
anonymous;22;-1.5593;0.5792;1.3618;273.2740;108.1580;341.4316;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.9056
anonymous;25;-1.5593;0.5790;1.3615;273.2733;108.1788;341.4067;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.9311
anonymous;27;-1.5592;0.5790;1.3616;273.2764;108.0280;341.5626;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.9531
anonymous;29;-1.5594;0.5788;1.3619;273.2652;108.0503;341.5369;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.9750
anonymous;31;-1.5595;0.5787;1.3616;273.2642;108.1732;341.4151;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:53.9976
anonymous;33;-1.5595;0.5789;1.3616;273.2669;108.0855;341.5011;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:54.0201
anonymous;35;-1.5594;0.5790;1.3615;273.2733;108.1549;341.4343;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:54.0421
anonymous;37;-1.5594;0.5792;1.3615;273.2714;108.1852;341.4006;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:54.0646
anonymous;39;-1.5595;0.5790;1.3613;273.2719;108.3362;341.2504;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:54.0866
anonymous;41;-1.5594;0.5791;1.3612;273.2785;108.4233;341.1638;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:54.1091
anonymous;43;-1.5591;0.5792;1.3614;273.2961;108.2520;341.3404;0a67abc0-85a3-4227-8c62-d2f1884e6320;2023-11-23 15:45:54.1315
