Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:10.8325
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.4010
anonymous;3;-1.8458;0.6593;1.2127;274.0559;96.5105;350.3626;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.4508
anonymous;6;-1.8459;0.6594;1.2126;274.0531;96.5407;350.3268;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.4758
anonymous;8;-1.8460;0.6594;1.2127;274.0545;96.5079;350.3661;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.4977
anonymous;10;-1.8460;0.6592;1.2130;274.0511;96.3230;350.5505;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.5207
anonymous;12;-1.8460;0.6590;1.2128;274.0517;96.5096;350.3601;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.5436
anonymous;14;-1.8457;0.6589;1.2127;274.0637;96.4737;350.3992;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.5655
anonymous;16;-1.8459;0.6588;1.2127;274.0483;96.5418;350.3268;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.5875
anonymous;18;-1.8462;0.6589;1.2130;274.0398;96.4628;350.4053;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.6094
anonymous;20;-1.8462;0.6590;1.2129;274.0420;96.5484;350.3196;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.7550
anonymous;21;-1.8462;0.6590;1.2130;274.0496;96.4268;350.4424;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.7590
anonymous;24;-1.8463;0.6588;1.2127;274.0407;96.5998;350.2684;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.7889
anonymous;26;-1.8463;0.6590;1.2129;274.0433;96.5874;350.2838;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.8109
anonymous;28;-1.8464;0.6592;1.2129;274.0430;96.5468;350.3238;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.8328
anonymous;30;-1.8460;0.6593;1.2129;274.0596;96.4985;350.3746;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.8558
anonymous;32;-1.8459;0.6593;1.2129;274.0571;96.3610;350.5127;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.8777
anonymous;34;-1.8462;0.6592;1.2129;274.0489;96.5039;350.3655;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.9006
anonymous;36;-1.8464;0.6591;1.2131;274.0388;96.4096;350.4542;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.9246
anonymous;38;-1.8462;0.6589;1.2128;274.0463;96.5007;350.3644;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.9445
anonymous;40;-1.8461;0.6589;1.2130;274.0532;96.4824;350.3828;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.9675
anonymous;42;-1.8461;0.6589;1.2128;274.0521;96.4225;350.4480;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:11.9894
anonymous;44;-1.8462;0.6590;1.2129;274.0485;96.4697;350.3945;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:12.0123
anonymous;46;-1.8462;0.6592;1.2126;274.0505;96.4973;350.3683;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:12.0343
anonymous;48;-1.8460;0.6592;1.2127;274.0569;96.4672;350.4016;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:12.0562
anonymous;50;-1.8460;0.6593;1.2127;274.0583;96.5403;350.3314;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:12.0812
anonymous;53;-1.8461;0.6594;1.2126;274.0550;96.4950;350.3722;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:12.1121
anonymous;55;-1.8462;0.6589;1.2126;274.0497;96.5304;350.3372;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:12.1350
anonymous;57;-1.8461;0.6588;1.2125;274.0566;96.5056;350.3659;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:12.1580
anonymous;59;-1.8460;0.6588;1.2122;274.0593;96.5873;350.2797;ecbfc29a-a70f-44b4-aeb3-d4d9dce00977;2023-11-22 11:43:12.1819
