Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:54.6808
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.2515
anonymous;3;-1.8473;0.6585;1.2132;273.9426;98.9086;348.7379;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.2920
anonymous;6;-1.8469;0.6584;1.2128;273.9493;98.9643;348.6866;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.3170
anonymous;8;-1.8471;0.6583;1.2128;273.9374;99.0438;348.6098;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.3395
anonymous;10;-1.8473;0.6587;1.2131;273.9352;98.8863;348.7625;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.3621
anonymous;12;-1.8475;0.6587;1.2133;273.9247;98.9103;348.7447;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.3846
anonymous;14;-1.8476;0.6587;1.2133;273.9250;98.8653;348.7839;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.4065
anonymous;16;-1.8474;0.6586;1.2132;273.9276;98.8836;348.7692;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.4285
anonymous;18;-1.8473;0.6582;1.2134;273.9271;98.8248;348.8235;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.4510
anonymous;20;-1.8474;0.6582;1.2133;273.9194;98.9102;348.7386;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.4740
anonymous;22;-1.8475;0.6584;1.2133;273.9235;98.9751;348.6762;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.6219
anonymous;25;-1.8478;0.6582;1.2132;273.9144;99.0897;348.5580;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.6530
anonymous;27;-1.8477;0.6584;1.2130;273.9198;99.0862;348.5628;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.6750
anonymous;29;-1.8475;0.6584;1.2130;273.9305;99.0634;348.5841;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.6970
anonymous;31;-1.8475;0.6587;1.2132;273.9273;98.9337;348.7149;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.7200
anonymous;33;-1.8477;0.6586;1.2135;273.9189;98.9232;348.7260;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.7419
anonymous;35;-1.8476;0.6583;1.2133;273.9159;99.0389;348.6069;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.7644
anonymous;37;-1.8477;0.6583;1.2132;273.9222;99.0283;348.6196;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.7894
anonymous;40;-1.8474;0.6583;1.2133;273.9348;99.0449;348.6046;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.8199
anonymous;42;-1.8472;0.6583;1.2133;273.9390;98.9583;348.6923;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.8424
anonymous;44;-1.8474;0.6583;1.2133;273.9332;99.0775;348.5687;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.8644
anonymous;46;-1.8476;0.6583;1.2132;273.9214;99.1058;348.5363;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.8873
anonymous;48;-1.8475;0.6584;1.2133;273.9312;98.9961;348.6508;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.9094
anonymous;50;-1.8475;0.6586;1.2136;273.9323;98.9696;348.6701;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.9319
anonymous;52;-1.8474;0.6586;1.2135;273.9388;98.9841;348.6567;9247d40f-6230-4df7-aeb6-0397f049600b;2023-11-22 15:01:55.9539
