Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:46.6063
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.1559
anonymous;3;-1.5552;0.5790;1.3641;273.3364;109.0680;342.2254;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.1948
anonymous;6;-1.5554;0.5788;1.3644;273.3295;108.9689;342.3182;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.2147
anonymous;8;-1.5554;0.5788;1.3644;273.3397;108.9960;342.2929;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.2366
anonymous;10;-1.5553;0.5787;1.3641;273.3438;109.1766;342.1140;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.2596
anonymous;12;-1.5551;0.5788;1.3641;273.3508;109.1680;342.1234;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.2815
anonymous;14;-1.5552;0.5790;1.3644;273.3468;109.0738;342.2200;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.3075
anonymous;17;-1.5557;0.5788;1.3643;273.3292;109.2190;342.0687;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.3374
anonymous;19;-1.5557;0.5790;1.3643;273.3271;109.3058;341.9848;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.3593
anonymous;21;-1.5556;0.5791;1.3643;273.3331;109.2004;342.0920;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.5169
anonymous;22;-1.5556;0.5787;1.3644;273.3304;109.1284;342.1635;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.5209
anonymous;25;-1.5554;0.5788;1.3643;273.3375;109.2323;342.0589;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.5498
anonymous;27;-1.5555;0.5790;1.3644;273.3343;109.1022;342.1845;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.5728
anonymous;29;-1.5554;0.5790;1.3642;273.3355;109.2257;342.0598;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.5947
anonymous;31;-1.5554;0.5789;1.3643;273.3409;109.1322;342.1558;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.6166
anonymous;33;-1.5555;0.5790;1.3643;273.3370;109.3216;341.9637;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.6396
anonymous;35;-1.5554;0.5790;1.3642;273.3417;109.3419;341.9437;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.6615
anonymous;37;-1.5553;0.5790;1.3643;273.3469;109.1867;342.1001;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.6864
anonymous;40;-1.5556;0.5791;1.3643;273.3395;109.4014;341.8833;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.7174
anonymous;42;-1.5553;0.5790;1.3641;273.3468;109.4174;341.8629;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.7393
anonymous;44;-1.5552;0.5790;1.3642;273.3537;109.2209;342.0615;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.7622
anonymous;46;-1.5553;0.5790;1.3642;273.3492;109.1980;342.0864;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.7842
anonymous;48;-1.5552;0.5787;1.3642;273.3463;109.3392;341.9442;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.8071
anonymous;50;-1.5554;0.5788;1.3642;273.3394;109.3173;341.9641;02eac91a-ad67-47f8-9b91-dec7c129d84a;2023-11-23 16:38:47.8291
