Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:15.6308
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.0955
anonymous;3;-1.4235;0.6049;1.4412;273.1377;105.9464;340.1569;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.1454
anonymous;5;-1.4233;0.6048;1.4410;273.1385;105.9412;340.1655;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.1564
anonymous;7;-1.4235;0.6050;1.4412;273.1372;105.8384;340.2702;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.1723
anonymous;8;-1.4237;0.6048;1.4413;273.1295;105.8995;340.2103;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.1833
anonymous;9;-1.4238;0.6048;1.4413;273.1329;105.8003;340.3039;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.1943
anonymous;10;-1.4238;0.6048;1.4412;273.1279;105.8608;340.2455;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.2062
anonymous;11;-1.4236;0.6047;1.4413;273.1412;105.7646;340.3502;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.2172
anonymous;12;-1.4235;0.6049;1.4412;273.1434;105.8375;340.2727;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.2282
anonymous;13;-1.4236;0.6051;1.4414;273.1440;105.7862;340.3257;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.2401
anonymous;14;-1.4237;0.6051;1.4414;273.1331;105.8478;340.2634;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.2501
anonymous;15;-1.4236;0.6051;1.4414;273.1372;105.8571;340.2523;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.2611
anonymous;16;-1.4236;0.6051;1.4413;273.1455;105.7376;340.3721;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.2730
anonymous;17;-1.4235;0.6051;1.4414;273.1372;105.8024;340.3099;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.2840
anonymous;18;-1.4236;0.6050;1.4414;273.1341;105.7810;340.3290;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.2950
anonymous;19;-1.4235;0.6048;1.4412;273.1439;105.8890;340.2238;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.3060
anonymous;20;-1.4234;0.6048;1.4412;273.1545;105.8220;340.2959;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.3169
anonymous;21;-1.4233;0.6049;1.4411;273.1447;105.9083;340.2073;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.4685
anonymous;22;-1.4234;0.6050;1.4416;273.1320;105.8257;340.2903;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.4735
anonymous;24;-1.4234;0.6050;1.4416;273.1404;105.8282;340.2850;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.4855
anonymous;25;-1.4235;0.6051;1.4416;273.1294;105.8870;340.2266;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.4964
anonymous;26;-1.4234;0.6048;1.4413;273.1403;105.9030;340.2128;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.5074
anonymous;27;-1.4233;0.6048;1.4414;273.1430;105.8624;340.2558;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.5184
anonymous;28;-1.4235;0.6048;1.4412;273.1329;105.9594;340.1582;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.5294
anonymous;29;-1.4235;0.6049;1.4412;273.1289;106.0278;340.0919;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.5413
anonymous;30;-1.4235;0.6050;1.4410;273.1324;106.1267;339.9907;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.5523
anonymous;31;-1.4233;0.6050;1.4411;273.1418;106.0832;340.0337;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.5633
anonymous;32;-1.4233;0.6049;1.4410;273.1387;105.9860;340.1285;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.5742
anonymous;33;-1.4233;0.6049;1.4411;273.1422;105.9956;340.1233;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.5852
anonymous;34;-1.4234;0.6049;1.4410;273.1367;106.0838;340.0323;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.5962
anonymous;35;-1.4234;0.6049;1.4409;273.1396;106.0530;340.0635;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.6081
anonymous;36;-1.4234;0.6049;1.4409;273.1374;105.9670;340.1505;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.6191
anonymous;37;-1.4230;0.6050;1.4409;273.1539;105.9052;340.2089;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.6301
anonymous;38;-1.4231;0.6051;1.4411;273.1418;105.8564;340.2620;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.6421
anonymous;39;-1.4231;0.6052;1.4410;273.1451;105.8770;340.2312;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.6520
anonymous;40;-1.4231;0.6052;1.4409;273.1440;106.0266;340.0900;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.6640
anonymous;41;-1.4232;0.6053;1.4410;273.1414;105.9742;340.1384;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.6750
anonymous;42;-1.4234;0.6052;1.4411;273.1260;105.9477;340.1617;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.6859
anonymous;43;-1.4234;0.6053;1.4411;273.1331;105.9042;340.2067;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.6969
anonymous;44;-1.4234;0.6052;1.4410;273.1319;105.8192;340.2941;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.7079
anonymous;45;-1.4235;0.6051;1.4412;273.1276;105.8170;340.2922;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.7198
anonymous;46;-1.4235;0.6051;1.4411;273.1313;105.8943;340.2184;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.7308
anonymous;47;-1.4236;0.6052;1.4413;273.1248;105.8256;340.2831;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.7418
anonymous;48;-1.4236;0.6052;1.4413;273.1242;105.8529;340.2561;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.7528
anonymous;49;-1.4236;0.6052;1.4413;273.1248;105.7951;340.3177;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.7637
anonymous;50;-1.4235;0.6050;1.4411;273.1317;105.9870;340.1216;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.7757
anonymous;51;-1.4236;0.6049;1.4412;273.1271;105.9137;340.1985;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.7867
anonymous;52;-1.4233;0.6049;1.4413;273.1362;105.7653;340.3438;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.7976
anonymous;53;-1.4232;0.6048;1.4413;273.1439;105.7922;340.3141;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.8086
anonymous;54;-1.4230;0.6049;1.4412;273.1451;105.8292;340.2785;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.8196
anonymous;55;-1.4230;0.6049;1.4412;273.1441;105.8230;340.2879;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.8315
anonymous;56;-1.4230;0.6050;1.4412;273.1436;105.8221;340.2828;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.8425
anonymous;57;-1.4230;0.6051;1.4410;273.1362;105.9383;340.1664;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.8535
anonymous;58;-1.4229;0.6051;1.4410;273.1437;105.7866;340.3203;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.8645
anonymous;59;-1.4231;0.6053;1.4412;273.1351;105.9927;340.1125;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.8754
anonymous;60;-1.4230;0.6053;1.4412;273.1350;105.8624;340.2433;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.8874
anonymous;61;-1.4232;0.6054;1.4411;273.1286;105.9796;340.1293;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.8984
anonymous;62;-1.4232;0.6054;1.4410;273.1302;106.0258;340.0830;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.9093
anonymous;63;-1.4233;0.6053;1.4410;273.1276;106.0454;340.0603;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.9203
anonymous;64;-1.4234;0.6053;1.4410;273.1250;105.9862;340.1165;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.9323
anonymous;65;-1.4233;0.6053;1.4409;273.1273;105.9608;340.1434;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.9433
anonymous;66;-1.4235;0.6050;1.4412;273.1177;105.9270;340.1829;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.9552
anonymous;67;-1.4234;0.6050;1.4413;273.1290;105.9391;340.1691;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.9672
anonymous;68;-1.4233;0.6050;1.4414;273.1286;105.8700;340.2380;53e432c3-4d3a-4b46-893a-afce240bdb13;2023-11-21 14:27:16.9782
