Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:54.1700
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:54.6789
anonymous;3;1.1812;0.2677;0.6663;277.6597;224.9436;45.1198;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:54.7209
anonymous;7;1.1813;0.2679;0.6667;277.6432;224.9042;45.0666;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:54.7660
anonymous;11;1.1813;0.2678;0.6668;277.6385;224.9345;44.9556;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:54.7950
anonymous;13;1.1812;0.2678;0.6669;277.6203;225.0285;44.9658;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:54.8165
anonymous;15;1.1812;0.2677;0.6668;277.6196;225.0554;44.9176;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:54.8385
anonymous;17;1.1812;0.2676;0.6669;277.6240;225.0349;44.8299;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:54.8610
anonymous;19;1.1811;0.2674;0.6666;277.6339;224.9942;44.9089;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:54.8830
anonymous;21;1.1810;0.2673;0.6665;277.6272;225.1581;44.8857;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.0355
anonymous;22;1.1812;0.2668;0.6672;277.5716;225.2798;44.6639;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.0395
anonymous;25;1.1812;0.2669;0.6673;277.5682;225.2679;44.6357;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.0631
anonymous;27;1.1811;0.2669;0.6672;277.5722;225.2168;44.6224;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.0856
anonymous;29;1.1813;0.2669;0.6671;277.5560;225.1870;44.6840;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.1086
anonymous;31;1.1814;0.2671;0.6669;277.5501;225.1089;44.8103;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.1296
anonymous;33;1.1813;0.2672;0.6669;277.5468;225.1101;44.8383;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.1521
anonymous;35;1.1811;0.2674;0.6668;277.5532;225.0445;44.8849;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.1741
anonymous;37;1.1811;0.2674;0.6668;277.5663;224.8985;44.9704;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.1967
anonymous;39;1.1813;0.2673;0.6666;277.5675;224.6765;45.1945;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.2187
anonymous;41;1.1812;0.2673;0.6666;277.5618;224.7428;45.2119;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.2417
anonymous;43;1.1811;0.2674;0.6664;277.5588;224.6538;45.3198;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.2637
anonymous;45;1.1815;0.2674;0.6664;277.5443;224.4986;45.4460;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.2857
anonymous;47;1.1815;0.2672;0.6664;277.5400;224.4129;45.5060;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.3082
anonymous;49;1.1815;0.2671;0.6664;277.5349;224.4276;45.5316;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.3302
anonymous;51;1.1811;0.2673;0.6665;277.5219;224.5622;45.4359;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.3532
anonymous;53;1.1811;0.2674;0.6665;277.5182;224.4444;45.5338;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.3757
anonymous;55;1.1810;0.2673;0.6667;277.5182;224.4573;45.4701;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.3977
anonymous;57;1.1810;0.2673;0.6667;277.5141;224.3612;45.4979;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.4202
anonymous;59;1.1809;0.2672;0.6669;277.5128;224.3898;45.4377;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.4422
anonymous;61;1.1809;0.2672;0.6668;277.5032;224.3237;45.5400;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.4642
anonymous;63;1.1813;0.2668;0.6670;277.4897;224.1675;45.7264;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.4867
anonymous;65;1.1812;0.2665;0.6667;277.4951;224.1636;45.7832;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.5103
anonymous;67;1.1812;0.2664;0.6667;277.4815;224.0619;45.8741;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.5332
anonymous;69;1.1810;0.2664;0.6672;277.4651;224.1609;45.7444;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.5568
anonymous;71;1.1811;0.2662;0.6673;277.4446;224.0920;45.7560;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.5797
anonymous;73;1.1811;0.2663;0.6674;277.4230;223.9918;45.8205;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.6028
anonymous;75;1.1811;0.2665;0.6675;277.3966;223.9729;45.8703;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.6248
anonymous;77;1.1811;0.2665;0.6675;277.3633;223.8991;45.9982;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.6483
anonymous;79;1.1813;0.2664;0.6674;277.3359;223.7346;46.1413;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.6708
anonymous;80;1.1814;0.2664;0.6675;277.3144;223.6462;46.2234;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.6928
anonymous;81;1.1820;0.2656;0.6675;277.1740;222.9568;46.9779;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.7942
anonymous;85;1.1823;0.2655;0.6680;276.9974;222.2054;47.7396;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.8227
anonymous;87;1.1823;0.2653;0.6679;276.9600;221.9861;48.0093;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.8452
anonymous;89;1.1822;0.2652;0.6680;276.9097;221.9044;48.1376;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.8672
anonymous;91;1.1820;0.2651;0.6683;276.8609;221.8310;48.2224;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.8897
anonymous;93;1.1819;0.2649;0.6686;276.8248;221.7403;48.2461;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.9127
anonymous;95;1.1818;0.2648;0.6690;276.7867;221.6563;48.2627;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.9347
anonymous;97;1.1817;0.2646;0.6692;276.7573;221.6313;48.2202;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.9577
anonymous;99;1.1818;0.2645;0.6695;276.7213;221.5001;48.3316;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:55.9797
anonymous;101;1.1816;0.2644;0.6697;276.7017;221.4684;48.3948;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.0022
anonymous;103;1.1813;0.2644;0.6700;276.6879;221.5349;48.3178;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.0246
anonymous;105;1.1812;0.2646;0.6704;276.6734;221.5151;48.2179;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.0462
anonymous;107;1.1810;0.2646;0.6705;276.6776;221.5928;48.0657;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.0692
anonymous;109;1.1809;0.2646;0.6706;276.6771;221.7146;48.0120;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.0917
anonymous;111;1.1810;0.2646;0.6707;276.6788;221.7460;48.0604;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.1137
anonymous;113;1.1807;0.2647;0.6709;276.7077;221.8425;47.9280;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.1357
anonymous;115;1.1806;0.2649;0.6712;276.7467;221.9998;47.6819;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.1587
anonymous;117;1.1804;0.2650;0.6714;276.7806;222.1573;47.4789;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.1807
anonymous;119;1.1801;0.2650;0.6716;276.8178;222.5319;47.1206;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.2027
anonymous;121;1.1800;0.2650;0.6719;276.8480;222.8482;46.8300;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.2261
anonymous;123;1.1802;0.2650;0.6721;276.8625;222.9356;46.7464;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.2487
anonymous;125;1.1801;0.2651;0.6724;276.9029;223.2282;46.3679;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.2716
anonymous;127;1.1800;0.2653;0.6730;276.9323;223.5418;45.9827;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.2951
anonymous;129;1.1798;0.2653;0.6730;276.9711;223.7063;45.8133;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.3176
anonymous;131;1.1798;0.2653;0.6732;276.9895;223.9274;45.6590;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.3401
anonymous;133;1.1800;0.2653;0.6733;276.9898;223.9635;45.6502;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.3635
anonymous;135;1.1804;0.2652;0.6737;276.9617;223.8748;45.6957;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.3861
anonymous;137;1.1807;0.2645;0.6746;276.9201;223.6035;45.9399;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.4086
anonymous;139;1.1815;0.2640;0.6750;276.8547;223.0597;46.4732;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.4316
anonymous;141;1.1825;0.2637;0.6751;276.7553;222.1743;47.3917;ff6137af-9444-4c2a-a1ee-91f3c85f1947;2023-11-22 11:33:56.4536
