Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:44.7317
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.2343
anonymous;3;0.2863;0.1889;0.4569;275.5019;70.7440;338.3521;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.2623
anonymous;7;0.2860;0.1888;0.4571;275.4835;70.8014;338.2606;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.2882
anonymous;9;0.2859;0.1891;0.4573;275.4707;70.7643;338.2426;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.3101
anonymous;10;0.2859;0.1891;0.4574;275.4691;70.7721;338.2139;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.3361
anonymous;14;0.2855;0.1888;0.4577;275.4315;70.8124;338.1334;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.3670
anonymous;16;0.2854;0.1887;0.4579;275.4264;70.7103;338.1965;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.3899
anonymous;18;0.2854;0.1884;0.4581;275.4209;70.6546;338.2375;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.4109
anonymous;20;0.2851;0.1882;0.4583;275.3959;70.6580;338.2579;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.4338
anonymous;22;0.2853;0.1884;0.4580;275.3923;70.7304;338.2299;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.4558
anonymous;24;0.2850;0.1879;0.4591;275.3027;70.1151;338.7532;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.5954
anonymous;27;0.2852;0.1879;0.4592;275.2985;70.1565;338.6972;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.6233
anonymous;29;0.2853;0.1878;0.4592;275.2964;70.3383;338.5493;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.6462
anonymous;31;0.2857;0.1879;0.4591;275.3035;70.4463;338.4595;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.6682
anonymous;33;0.2858;0.1876;0.4592;275.3104;70.5039;338.4189;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.6911
anonymous;35;0.2862;0.1874;0.4594;275.3224;70.6086;338.3337;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.7131
anonymous;37;0.2863;0.1874;0.4593;275.3103;70.6064;338.3278;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.7350
anonymous;39;0.2864;0.1874;0.4592;275.3087;70.6525;338.2800;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.7599
anonymous;41;0.2864;0.1873;0.4590;275.2891;70.6760;338.2568;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.7799
anonymous;43;0.2863;0.1871;0.4590;275.2700;70.6085;338.3120;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.8018
anonymous;45;0.2863;0.1870;0.4589;275.2662;70.5992;338.2996;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.8248
anonymous;47;0.2861;0.1871;0.4589;275.2487;70.5855;338.2611;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.8467
anonymous;49;0.2858;0.1870;0.4588;275.2169;70.4316;338.3520;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.8696
anonymous;51;0.2858;0.1870;0.4585;275.2100;70.4888;338.2296;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.8916
anonymous;53;0.2860;0.1870;0.4586;275.2067;70.3344;338.3196;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.9165
anonymous;56;0.2859;0.1874;0.4587;275.1999;70.1692;338.4613;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.9474
anonymous;58;0.2860;0.1876;0.4585;275.2035;70.2254;338.4221;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.9694
anonymous;60;0.2861;0.1877;0.4585;275.2125;70.2859;338.3595;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:45.9933
anonymous;62;0.2860;0.1878;0.4582;275.2058;70.3486;338.2420;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.0173
anonymous;64;0.2862;0.1878;0.4582;275.2265;70.3121;338.2439;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.0392
anonymous;66;0.2865;0.1877;0.4581;275.2596;70.5971;338.0103;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.0621
anonymous;68;0.2867;0.1879;0.4582;275.2838;70.7248;337.9608;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.0851
anonymous;70;0.2870;0.1880;0.4581;275.3131;70.8905;337.8583;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.1080
anonymous;72;0.2875;0.1882;0.4581;275.3427;71.0331;337.7440;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.1310
anonymous;74;0.2878;0.1883;0.4581;275.3602;70.9524;337.8248;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.1539
anonymous;76;0.2879;0.1884;0.4580;275.3574;70.9263;337.8412;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.1758
anonymous;78;0.2880;0.1885;0.4578;275.3440;70.8484;337.8617;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.1988
anonymous;80;0.2884;0.1883;0.4574;275.3505;70.8344;337.8026;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.2207
anonymous;82;0.2884;0.1884;0.4574;275.3399;70.6166;337.9651;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.2436
anonymous;84;0.2885;0.1883;0.4574;275.3389;70.4702;338.1344;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.2656
anonymous;86;0.2884;0.1883;0.4577;275.3412;70.3090;338.4138;528d54e6-316f-49c1-97d0-f7d5b1cc14e2;2023-11-22 13:03:46.2875
