Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:28.3843
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:28.8376
anonymous;3;0.2598;0.0686;0.5979;277.3641;121.7808;18.0872;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:28.8662
anonymous;7;0.2587;0.0683;0.5975;277.3414;122.0374;17.5306;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:28.8931
anonymous;9;0.2584;0.0681;0.5972;277.3422;122.1517;17.2309;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:28.9151
anonymous;11;0.2581;0.0677;0.5969;277.3437;122.2998;16.9187;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:28.9366
anonymous;13;0.2577;0.0673;0.5967;277.3309;122.4755;16.6175;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:28.9596
anonymous;15;0.2573;0.0669;0.5967;277.3046;122.5701;16.4473;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:28.9821
anonymous;17;0.2569;0.0667;0.5966;277.2793;122.7575;16.1669;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:29.0041
anonymous;19;0.2566;0.0663;0.5968;277.2519;122.8235;16.0503;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:29.0286
anonymous;21;0.2565;0.0660;0.5971;277.2120;122.9158;15.9909;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:29.1745
anonymous;22;0.2553;0.0639;0.5957;277.0895;124.4779;14.2688;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:29.1780
anonymous;25;0.2553;0.0638;0.5952;277.0822;124.6328;13.8526;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:29.2050
anonymous;27;0.2552;0.0635;0.5949;277.0663;124.7246;13.5819;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:29.2275
anonymous;29;0.2553;0.0633;0.5946;277.0555;124.7770;13.4133;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:29.2500
anonymous;31;0.2551;0.0628;0.5947;277.0244;124.8122;13.3006;fe453e16-c10e-4c93-9c25-43f52f99eb3d;2023-11-22 13:05:29.2724
