Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:53.8969
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.4357
anonymous;3;-3.4471;-0.8279;1.2845;345.6364;277.0778;4.0852;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.4702
anonymous;4;-3.4471;-0.8281;1.2846;345.6379;277.0775;4.0765;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.4911
anonymous;8;-3.4470;-0.8280;1.2845;345.6271;277.0781;4.0759;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.5196
anonymous;11;-3.4471;-0.8284;1.2849;345.6417;277.0842;4.0669;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.5505
anonymous;13;-3.4473;-0.8284;1.2850;345.6500;277.0881;4.0582;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.5731
anonymous;15;-3.4471;-0.8283;1.2851;345.6347;277.0865;4.0627;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.5956
anonymous;17;-3.4472;-0.8283;1.2851;345.6469;277.0807;4.0661;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.6171
anonymous;19;-3.4473;-0.8282;1.2851;345.6457;277.0760;4.0731;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.6395
anonymous;21;-3.4471;-0.8281;1.2847;345.6267;277.0722;4.0864;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.6625
anonymous;23;-3.4470;-0.8287;1.2848;345.6272;277.0862;4.0774;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.8131
anonymous;26;-3.4471;-0.8284;1.2849;345.6348;277.0820;4.0696;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.8416
anonymous;28;-3.4469;-0.8283;1.2849;345.6258;277.0831;4.0699;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.8630
anonymous;30;-3.4469;-0.8284;1.2850;345.6296;277.0877;4.0643;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.8860
anonymous;32;-3.4471;-0.8284;1.2851;345.6442;277.0910;4.0598;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.9085
anonymous;34;-3.4472;-0.8285;1.2850;345.6489;277.0848;4.0707;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.9305
anonymous;36;-3.4473;-0.8285;1.2852;345.6508;277.0937;4.0583;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.9529
anonymous;38;-3.4470;-0.8284;1.2852;345.6336;277.0933;4.0622;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:54.9774
anonymous;41;-3.4472;-0.8284;1.2849;345.6406;277.0894;4.0740;684aa0f1-6898-46f9-b9bd-1a72de915ff1;2023-11-10 16:06:55.0084
