Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:48.4024
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:48.9091
anonymous;3;1.4651;0.1342;-0.0519;271.1443;207.0957;66.9857;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:48.9350
anonymous;7;1.4642;0.1344;-0.0526;271.1464;208.0966;66.0948;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:48.9639
anonymous;9;1.4639;0.1346;-0.0528;271.1299;208.2298;66.0173;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:48.9978
anonymous;12;1.4634;0.1349;-0.0529;271.1043;208.3273;65.9338;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.0198
anonymous;14;1.4630;0.1350;-0.0529;271.0979;207.7548;66.4152;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.0417
anonymous;16;1.4628;0.1352;-0.0528;271.0788;206.6563;67.4112;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.0646
anonymous;18;1.4627;0.1354;-0.0526;271.0404;205.4856;68.4825;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.0866
anonymous;20;1.4628;0.1355;-0.0525;271.0091;202.8745;70.9574;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.1085
anonymous;22;1.4627;0.1356;-0.0525;270.9917;199.6820;74.0417;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.1305
anonymous;24;1.4643;0.1358;-0.0529;270.8219;173.8857;100.1624;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.2721
anonymous;27;1.4646;0.1360;-0.0530;270.8204;169.0935;104.9410;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.2990
anonymous;29;1.4648;0.1361;-0.0532;270.8287;166.0547;107.9363;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.3209
anonymous;31;1.4650;0.1362;-0.0532;270.8384;162.8519;111.1266;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.3439
anonymous;33;1.4650;0.1363;-0.0532;270.8240;160.7880;113.1939;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.3658
anonymous;35;1.4650;0.1364;-0.0533;270.8320;159.3060;114.6520;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.3878
anonymous;37;1.4650;0.1366;-0.0535;270.8384;158.9941;114.9336;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.4107
anonymous;39;1.4648;0.1368;-0.0538;270.8596;158.9281;114.9848;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.4346
anonymous;42;1.4648;0.1373;-0.0539;270.8586;158.7160;115.1374;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.4666
anonymous;44;1.4646;0.1376;-0.0540;270.8673;160.0065;113.8173;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.4885
anonymous;46;1.4646;0.1378;-0.0541;270.8778;160.3931;113.3966;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.5104
anonymous;48;1.4645;0.1381;-0.0543;270.8915;160.7133;113.0539;fce1d2cd-b9e3-4763-a2f7-e3030d51d48c;2023-11-22 10:48:49.5334
