Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:37.9108
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.4107
anonymous;3;1.0911;0.2910;0.6732;271.7098;296.8835;335.6382;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.4437
anonymous;6;1.0912;0.2909;0.6733;271.7064;297.8315;334.7083;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.4672
anonymous;8;1.0913;0.2909;0.6732;271.6958;298.1067;334.4134;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.5027
anonymous;11;1.0914;0.2908;0.6729;271.6854;298.7619;333.7830;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.5237
anonymous;13;1.0913;0.2907;0.6729;271.6889;299.2000;333.3713;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.5463
anonymous;15;1.0914;0.2909;0.6725;271.6723;299.0066;333.5456;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.5683
anonymous;17;1.0914;0.2907;0.6726;271.6628;299.1645;333.3547;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.5908
anonymous;19;1.0915;0.2907;0.6726;271.6561;299.2705;333.2539;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.6128
anonymous;21;1.0916;0.2906;0.6726;271.6535;299.4512;333.0871;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.6353
anonymous;23;1.0923;0.2908;0.6721;271.6454;298.2281;334.3190;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.7729
anonymous;26;1.0925;0.2905;0.6721;271.6433;298.0832;334.4781;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.8034
anonymous;28;1.0926;0.2906;0.6719;271.6528;297.5803;335.0184;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.8249
anonymous;30;1.0921;0.2907;0.6718;271.6902;297.2065;335.4508;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.8474
anonymous;32;1.0922;0.2908;0.6718;271.6861;296.9641;335.6779;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.8699
anonymous;34;1.0922;0.2909;0.6717;271.6810;296.5539;336.0410;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.8924
anonymous;36;1.0919;0.2912;0.6717;271.6931;295.9965;336.5351;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.9149
anonymous;38;1.0922;0.2911;0.6717;271.6741;295.6069;336.9089;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.9394
anonymous;41;1.0921;0.2913;0.6713;271.6776;294.6371;337.9408;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.9704
anonymous;43;1.0920;0.2912;0.6714;271.6856;294.5897;338.0359;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:38.9925
anonymous;45;1.0922;0.2911;0.6712;271.6708;294.5623;338.0909;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.0150
anonymous;47;1.0925;0.2912;0.6716;271.6606;295.0175;337.6198;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.0374
anonymous;49;1.0925;0.2909;0.6719;271.6585;295.1162;337.5106;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.0594
anonymous;51;1.0927;0.2908;0.6719;271.6481;294.7785;337.7981;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.0824
anonymous;53;1.0925;0.2908;0.6720;271.6471;294.7106;337.7932;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.1044
anonymous;55;1.0925;0.2907;0.6721;271.6421;294.7625;337.7267;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.1264
anonymous;57;1.0923;0.2907;0.6722;271.6421;294.6845;337.8304;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.1499
anonymous;59;1.0924;0.2905;0.6723;271.6347;295.0374;337.5430;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.1734
anonymous;61;1.0925;0.2903;0.6726;271.6315;295.6663;336.9483;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.1979
anonymous;63;1.0928;0.2902;0.6726;271.6152;295.7725;336.7960;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.2208
anonymous;65;1.0929;0.2902;0.6728;271.6082;295.6130;336.8410;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.2468
anonymous;68;1.0929;0.2901;0.6727;271.6055;294.8554;337.5610;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.2769
anonymous;70;1.0930;0.2900;0.6727;271.6101;295.2259;337.2631;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.2998
anonymous;72;1.0931;0.2900;0.6729;271.6148;295.8000;336.7491;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.3218
anonymous;74;1.0932;0.2900;0.6729;271.6139;295.7991;336.7319;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.3438
anonymous;76;1.0931;0.2901;0.6728;271.6152;295.4986;337.0286;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.3663
anonymous;78;1.0935;0.2904;0.6726;271.6062;295.7558;336.8048;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.3894
anonymous;80;1.0937;0.2905;0.6726;271.6094;295.8161;336.7602;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.4104
anonymous;82;1.0939;0.2907;0.6724;271.6001;295.7900;336.7548;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.4333
anonymous;84;1.0939;0.2905;0.6723;271.6083;295.6155;336.8769;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.4558
anonymous;86;1.0942;0.2905;0.6722;271.5954;296.0464;336.4353;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.4778
anonymous;88;1.0943;0.2907;0.6724;271.5999;296.5729;335.8994;fb568369-126e-4b6a-9743-25557eb0f003;2023-11-22 11:32:39.4998
