Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.0606
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.5912
anonymous;3;1.4361;0.0581;0.0177;270.7803;263.2854;10.4030;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.6171
anonymous;6;1.4356;0.0581;0.0174;270.8011;268.3583;5.5468;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.6540
anonymous;10;1.4346;0.0582;0.0167;270.8426;271.4985;2.5491;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.6819
anonymous;12;1.4340;0.0583;0.0165;270.8709;272.6114;1.4398;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.7049
anonymous;14;1.4336;0.0583;0.0161;270.8867;272.0006;1.9798;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.7278
anonymous;16;1.4332;0.0584;0.0158;270.8922;271.2523;2.6009;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.7497
anonymous;18;1.4331;0.0586;0.0157;270.8965;271.8921;1.9182;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.7717
anonymous;20;1.4324;0.0586;0.0155;270.9262;272.1742;1.6867;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.7936
anonymous;22;1.4318;0.0587;0.0151;270.9431;272.3008;1.6457;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.8166
anonymous;24;1.4314;0.0596;0.0128;270.8306;263.3553;10.7235;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.9562
anonymous;27;1.4312;0.0600;0.0124;270.8075;260.6588;13.4034;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:12.9851
anonymous;29;1.4313;0.0600;0.0118;270.7836;257.1927;16.8831;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:13.0070
anonymous;31;1.4314;0.0601;0.0115;270.7494;255.0325;19.0535;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:13.0290
anonymous;33;1.4312;0.0601;0.0112;270.7386;252.3388;21.7559;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:13.0509
anonymous;35;1.4311;0.0602;0.0109;270.7212;250.0027;24.0994;06690c55-c667-4880-9cc9-28ebcf33984f;2023-11-22 10:48:13.0739
