Email;Framecount;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;SessionID;Timestamp
anonymous;1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:44.7342
anonymous;2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.2797
anonymous;3;-3.0758;-0.0363;-0.5417;275.4148;344.3874;129.5882;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.3147
anonymous;5;-3.0819;-0.0384;-0.5399;271.5474;335.9307;145.2889;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.3377
anonymous;8;-3.0816;-0.0368;-0.5409;270.5581;118.2912;3.0442;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.3606
anonymous;10;-3.0790;-0.0339;-0.5406;272.8792;134.1393;348.5601;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.3901
anonymous;13;-3.0743;-0.0306;-0.5386;275.3756;124.5271;1.8226;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.4220
anonymous;16;-3.0719;-0.0292;-0.5394;277.7529;128.7996;359.4953;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.4519
anonymous;18;-3.0717;-0.0280;-0.5404;278.9912;136.3380;351.4116;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.4823
anonymous;20;-3.0725;-0.0277;-0.5392;278.7257;137.6640;351.9749;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.6453
anonymous;21;-3.0760;-0.0215;-0.5290;276.2229;138.1827;357.4416;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.6478
anonymous;24;-3.0774;-0.0204;-0.5277;275.6977;144.1554;352.3856;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.6728
anonymous;26;-3.0790;-0.0194;-0.5271;274.5223;155.8804;341.0650;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.6947
anonymous;28;-3.0811;-0.0182;-0.5261;273.5176;175.6862;321.8632;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.7177
anonymous;30;-3.0831;-0.0172;-0.5246;273.2115;198.3579;300.4442;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.7402
anonymous;32;-3.0845;-0.0163;-0.5233;273.1486;213.6907;286.8231;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.7617
anonymous;34;-3.0852;-0.0155;-0.5220;273.1799;225.3581;276.8700;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.7842
anonymous;36;-3.0861;-0.0147;-0.5211;273.5635;234.2923;268.9156;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.8067
anonymous;38;-3.0867;-0.0134;-0.5213;273.9008;234.1226;269.4719;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.8287
anonymous;40;-3.0867;-0.0122;-0.5215;273.9822;231.8851;272.4331;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.8517
anonymous;42;-3.0865;-0.0115;-0.5220;274.0817;224.9669;279.4453;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.8737
anonymous;44;-3.0853;-0.0100;-0.5223;273.9218;211.3010;294.2564;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.8962
anonymous;46;-3.0834;-0.0087;-0.5230;273.9956;196.5321;310.2198;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.9182
anonymous;48;-3.0819;-0.0083;-0.5241;274.5862;187.1773;319.8269;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.9407
anonymous;50;-3.0804;-0.0078;-0.5251;275.0427;181.0262;326.2137;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.9637
anonymous;52;-3.0782;-0.0072;-0.5263;275.4672;174.7452;333.1664;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:45.9862
anonymous;54;-3.0764;-0.0070;-0.5276;276.1017;167.6998;340.7295;ab7f6474-02ef-4d18-b0be-617db5e5c5d6;2023-11-10 16:13:46.0077
